"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-10a-5p",204,905,343,3508,5127,632,435,2824,871,3657,1257,5019,2903,2601,797,252,246,578,426,1346,497,252,654,1642,215,654,237,538,536,1860,2356,534,1115,701
"hsa-miR-10b-5p",384,2066,727,7106,11095,1412,931,4973,2364,5838,2241,9528,5509,5041,1448,543,499,967,1181,1998,946,602,1176,3939,600,1615,417,989,1119,2906,4242,1057,1624,1188
"hsa-miR-181a-5p",104,382,140,2370,2145,390,201,660,874,1550,775,2333,1254,1809,303,98,122,205,354,211,232,119,260,576,243,323,148,203,143,813,810,301,539,529
"hsa-miR-185-3p",0,0,0,9,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-191-5p",82,284,142,14156,2114,326,155,4815,1615,6753,2006,4731,2366,3752,651,74,113,459,570,183,155,146,305,338,79,147,40,368,277,1860,1763,1386,2738,1652
"hsa-miR-221-3p",1,1,0,4,1,1,1,1,1,36896,18533,41108,14518,19228,3807,0,0,1,1,1,1,1,1,1,1,1,1,8461,3955,9456,3863,7965,24510,4154
"hsa-miR-26a-5p",86,442,144,5351,1904,268,158,870,699,2047,711,2416,1057,1278,304,101,118,217,465,344,229,163,258,462,108,327,89,167,251,660,903,458,423,489
"hsa-miR-361-3p",2,5,0,13,16,5,1,9,10,19,22,32,22,24,7,0,2,6,4,1,6,1,1,3,0,3,2,5,5,1,3,12,36,4
"hsa-miR-423-5p",103,486,146,5939,3839,653,344,2447,4125,3371,1725,11000,1293,4665,715,130,112,360,360,207,156,280,206,390,290,386,249,921,133,1295,756,531,3809,1077
"hsa-miR-451a",87,364,92,733,2570,201,98,275,739,197,88,1486,343,689,72,91,89,251,204,170,79,188,390,375,80,335,172,89,28,167,296,57,186,61
"hsa-miR-486-5p",6059,29547,9046,98800,144158,31383,14419,105057,184510,65682,69986,394239,92912,476519,33391,7757,6865,51470,7826,14739,18326,18451,17237,15285,17159,18351,14858,31451,29856,70771,49200,39213,88444,18379
"hsa-miR-92a-3p",415,1799,506,5246,6207,1137,695,2648,3898,6174,3908,17530,4947,7825,1756,407,490,2367,899,678,856,889,1137,778,853,1829,1146,1864,1292,3396,2678,2097,2693,1352
"hsa-miR-126-3p",14,76,17,293,246,67,31,50,50,148,49,182,79,101,22,12,21,18,29,63,22,22,37,101,24,54,32,16,42,72,80,14,39,9
"hsa-miR-30d-5p",26,103,47,2430,766,108,63,611,464,1245,430,1431,595,1052,145,22,39,91,142,48,78,32,90,124,18,68,67,117,105,479,444,290,424,239
"hsa-miR-146b-5p",18,54,18,943,240,110,35,285,99,223,87,163,77,127,17,12,21,51,36,20,62,23,64,25,35,54,30,10,35,46,56,29,63,68
"hsa-miR-151a-3p",12,46,22,1931,415,49,26,472,181,896,235,708,253,478,104,15,14,22,54,55,24,19,40,58,19,44,8,59,60,334,302,142,285,151
"hsa-miR-27b-3p",29,137,65,1405,624,119,76,268,179,507,173,733,301,325,97,38,43,63,190,111,62,83,70,167,72,104,32,65,72,179,195,115,225,93
"hsa-miR-182-5p",18,35,19,150,128,27,36,108,140,179,89,219,171,182,151,13,17,112,16,18,18,81,15,39,41,24,33,115,74,96,94,43,93,37
"hsa-miR-25-3p",23,114,25,551,700,81,46,205,291,206,115,562,188,288,43,21,30,91,38,36,35,39,78,107,70,101,46,53,43,136,82,63,137,26
"hsa-miR-30a-5p",36,118,42,348,650,65,48,162,171,254,124,442,220,210,66,39,33,40,97,155,100,50,83,165,47,73,43,55,45,152,184,43,83,43
