"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-10a-5p",933,999,1074,443,1301,807,983,1652,543,942,714,1127,1283,1317,1169,1211,914,510,530,1511,712,483,764,1199,416,693,472,887,914,1178,1545,591,636,888
"hsa-miR-10b-5p",1741,2298,2284,897,2823,1813,2107,2875,1514,1507,1272,2136,2431,2547,2123,2614,1858,884,1423,2322,1373,1133,1400,2842,1112,1679,853,1632,1906,1843,2782,1170,929,1505
"hsa-miR-181a-5p",476,421,434,306,538,506,452,364,584,400,437,523,555,907,446,472,451,187,412,266,330,226,308,430,412,337,281,336,244,514,531,333,308,668
"hsa-miR-185-3p",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"hsa-miR-191-5p",372,308,447,1902,486,380,309,2851,1034,1733,1135,1071,1055,1896,964,354,415,365,627,230,227,263,348,262,152,166,90,611,476,1181,1159,1527,1553,2084
"hsa-miR-221-3p",1,1,0,2,1,1,1,1,1,7164,8026,7163,4981,7519,4405,0,0,1,1,1,1,1,1,1,1,1,1,10451,4784,4054,1396,5911,9548,3836
"hsa-miR-26a-5p",391,491,449,716,467,333,343,483,448,527,403,542,470,647,447,484,437,196,526,409,326,295,306,353,204,341,182,275,427,418,592,504,241,617
"hsa-miR-361-3p",7,5,0,2,4,7,2,6,7,5,13,7,10,12,10,0,6,4,4,1,7,1,1,2,0,3,3,7,9,1,2,12,19,3
"hsa-miR-423-5p",470,541,452,772,947,828,757,1405,2931,871,974,2433,580,2333,1051,622,417,306,420,264,236,478,254,308,488,399,448,1515,229,824,500,587,2152,1361
"hsa-miR-451a",398,405,281,89,671,256,216,146,508,52,50,328,151,342,105,434,329,215,245,215,126,325,431,287,153,340,312,146,48,106,194,63,106,78
"hsa-miR-486-5p",27734,32912,28180,12142,35675,40707,32149,61122,133116,17196,39546,87432,41284,233872,49022,37333,25604,39096,10375,18492,25551,31281,20417,12761,28966,19580,26784,51837,50832,44902,32445,43293,50199,23375
"hsa-miR-92a-3p",1913,2001,1564,664,1554,1474,1578,1497,2698,1598,2204,3898,2196,3933,2575,1961,1822,1864,1100,884,1236,1553,1335,666,1478,1843,2013,3066,2202,2154,1764,2312,1533,1714
"hsa-miR-126-3p",60,85,50,38,62,88,70,26,31,39,27,41,35,50,32,55,74,17,35,73,32,41,43,74,41,56,58,26,70,45,50,14,23,10
"hsa-miR-30d-5p",115,113,145,325,186,131,135,350,308,321,243,321,264,528,214,104,145,77,160,62,108,59,104,95,36,73,119,192,177,302,290,319,239,300
"hsa-miR-146b-5p",83,59,54,123,55,142,75,162,61,59,49,37,34,64,25,57,77,42,43,26,83,41,71,21,60,56,55,15,58,29,37,32,35,84
"hsa-miR-151a-3p",51,51,66,260,98,57,53,273,113,231,133,159,113,241,152,70,49,20,62,64,35,34,46,45,34,45,16,95,100,209,196,157,161,192
"hsa-miR-27b-3p",130,150,203,186,154,150,171,148,111,131,97,164,134,164,142,181,158,59,213,134,91,144,85,128,126,110,65,106,121,113,128,127,127,117
"hsa-miR-182-5p",79,37,56,19,31,33,82,62,97,47,51,50,76,93,218,59,61,84,21,24,26,127,19,31,67,26,59,189,126,59,62,45,52,45
"hsa-miR-25-3p",106,127,75,70,179,103,101,115,199,53,65,125,83,144,63,100,108,76,47,47,51,70,90,82,116,101,83,87,72,85,53,69,76,32
"hsa-miR-30a-5p",166,129,130,43,166,82,107,91,113,66,70,99,98,106,97,184,121,40,115,178,137,91,98,125,85,79,82,90,77,96,120,47,47,54
"hsa-let-7a-5p",120,119,109,291,100,93,341,97,118,103,201,242,148,178,209,143,103,63,112,78,87,69,106,78,73,104,67,62,113,64,152,432,117,140
"hsa-miR-186-5p",49,50,70,114,94,98,83,100,122,47,49,78,66,109,52,42,69,45,52,36,44,31,43,53,26,43,34,69,44,44,40,34,55,70
"hsa-miR-22-3p",430,416,376,406,288,216,294,296,343,319,242,419,299,547,299,516,354,266,404,355,122,329,373,313,233,270,282,224,116,321,277,243,563,317
"hsa-miR-423-3p",52,50,50,89,50,67,76,98,115,132,137,114,102,190,102,61,47,57,60,35,43,41,24,31,16,40,26,70,78,144,60,197,73,172
"hsa-miR-99b-5p",115,130,165,229,176,100,101,615,149,203,150,225,199,300,165,171,120,85,119,187,117,32,114,105,82,100,49,136,91,178,182,183,120,310
"hsa-let-7c-5p",41,28,9,12,12,27,45,24,41,3,9,6,4,1,6,53,9,1,83,44,21,3,2,7,25,16,3,2,6,6,5,6,2,4
"hsa-let-7f-5p",92,82,82,143,65,97,131,78,65,103,162,134,146,191,183,92,85,47,48,74,64,81,51,46,63,79,89,131,98,53,189,210,53,161
"hsa-miR-125a-5p",239,279,220,136,269,143,227,316,200,255,252,293,274,367,363,295,224,140,156,302,250,188,208,161,160,170,69,226,223,325,411,245,108,272
"hsa-miR-1307-5p",0,4,0,34,16,7,19,8,39,2,2,2,2,4,0,0,4,0,0,1,0,0,2,4,6,2,0,0,8,1,1,1,2,0
"hsa-miR-146a-5p",62,50,54,400,57,58,56,308,110,133,76,104,69,141,63,62,55,35,97,32,55,27,43,13,14,41,42,17,34,75,78,126,103,194
"hsa-miR-150-5p",253,212,171,31,114,189,131,140,129,199,322,279,382,322,141,191,237,171,108,160,316,329,130,66,104,190,94,325,540,155,251,202,91,204
"hsa-miR-196b-5p",0,0,6,1,0,0,0,0,2,1,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-21-5p",52,36,56,110,42,60,72,62,50,59,65,56,45,92,33,33,61,27,83,19,24,31,48,25,30,33,29,21,23,62,52,44,70,74
"hsa-miR-30c-5p",29,34,20,44,37,29,30,49,45,38,25,30,37,50,26,24,32,23,22,12,27,15,35,23,13,19,14,24,31,32,35,33,13,36
"hsa-miR-484",50,95,33,50,82,65,59,94,160,81,115,248,98,350,89,77,48,53,36,34,43,70,40,22,22,67,53,119,97,147,103,102,58,109
"hsa-miR-93-5p",19,28,13,15,17,11,25,14,16,6,6,8,8,11,9,26,18,9,3,15,27,20,14,14,24,15,13,12,8,5,3,9,5,2
"hsa-miR-127-3p",0,7,8,30,20,9,9,65,22,30,23,43,13,44,16,0,8,2,8,6,8,4,1,1,4,4,1,15,14,32,33,31,23,13
"hsa-miR-151a-5p",33,73,76,274,107,77,98,245,116,173,100,130,108,171,142,61,63,37,85,58,41,31,27,57,24,44,23,95,98,121,200,140,108,126
"hsa-miR-548k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2
"hsa-miR-92b-3p",105,80,77,16,32,61,94,53,53,55,96,80,54,72,99,54,112,73,70,79,69,87,35,54,98,67,23,43,36,117,69,54,37,106
"hsa-let-7b-5p",44,67,51,113,76,77,241,85,141,70,143,192,99,150,167,64,48,26,53,16,44,25,44,38,66,47,31,105,35,48,154,226,102,101
"hsa-let-7d-3p",1,1,1,1,1,1,1,1,1,1673,1511,2604,607,3591,645,0,0,1,1,0,1,1,1,1,1,1,1,0,0,2119,1328,671,4755,0
"hsa-let-7d-5p",8,8,9,23,6,7,16,10,16,29,38,37,25,48,48,9,7,2,6,9,9,4,3,10,10,5,6,24,5,38,20,69,38,17
"hsa-let-7e-5p",1,1,1,1,1,1,1,1,1,3514,4205,4893,2172,5497,5281,0,0,1,1,1,0,1,1,1,1,1,0,4717,0,1311,3480,5744,3981,4381
"hsa-let-7g-5p",27,24,37,34,14,36,21,12,16,16,27,22,22,22,17,51,16,15,20,27,35,11,27,10,25,24,26,13,24,13,24,30,5,18
