"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-10a-5p",72,170,103,114,375,130,112,276,95,204,152,299,295,314,169,90,81,79,79,330,107,49,139,332,43,120,50,116,127,264,373,87,119,146
"hsa-miR-10b-5p",134,388,217,230,808,290,237,478,264,328,270,567,559,604,305,193,164,120,237,472,197,119,244,631,127,310,81,215,278,402,693,174,162,251
"hsa-miR-181a-5p",37,71,42,79,154,82,51,60,101,88,90,138,128,205,65,36,40,29,71,45,51,26,55,108,61,60,35,44,33,114,119,53,62,112
"hsa-miR-185-3p",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"hsa-miR-191-5p",29,52,44,570,140,61,35,477,180,365,235,291,249,443,143,26,37,78,83,39,35,34,67,61,19,27,9,66,51,246,248,265,348,382
"hsa-miR-221-3p",1,1,0,7,2,2,3,3,2,5,6,5,3,4,2,0,0,1,2,1,1,2,1,1,1,1,1,3,2,2,1,2,4,2
"hsa-miR-26a-5p",30,83,43,184,132,53,39,80,77,114,84,143,110,153,65,36,38,31,97,77,50,36,55,86,25,63,20,37,61,89,132,85,47,101
"hsa-miR-361-3p",1,1,0,1,1,1,1,1,1,1,3,1,2,2,1,0,1,2,1,0,2,0,0,1,0,1,1,1,1,0,0,2,2,1
"hsa-miR-423-5p",36,91,44,198,270,132,85,233,507,190,202,610,142,524,152,46,37,55,71,43,33,67,41,69,73,74,62,224,22,169,94,87,547,240
"hsa-miR-451a",31,69,27,23,192,41,24,24,88,12,11,82,36,75,15,33,29,38,38,35,17,44,85,67,18,63,41,20,7,23,41,11,23,13
"hsa-miR-486-5p",2138,5552,2684,3125,10219,6518,3627,10181,23134,3984,8271,22318,9765,49245,7111,2741,2254,9161,1250,2971,4092,4400,3559,2426,4326,3305,3661,7484,7731,9939,6797,7421,11491,3434
"hsa-miR-92a-3p",149,338,149,171,446,236,179,250,468,352,456,1002,516,911,372,146,159,394,173,128,179,200,240,120,205,368,295,456,316,464,376,397,299,280
