"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-10a-5p",1052,1069,1064,337,1447,786,1063,1519,489,832,739,1149,1245,1293,1277,1090,792,530,510,1673,767,435,788,1364,430,698,443,877,1015,1270,1798,634,617,857
"hsa-miR-10b-5p",1963,2458,2263,681,3139,1768,2278,2642,1365,1329,1318,2179,2362,2504,2319,2354,1609,921,1365,2580,1481,1020,1447,3228,1145,1686,803,1612,2107,1993,3236,1251,907,1455
"hsa-miR-181a-5p",536,450,430,233,598,494,489,334,528,353,455,534,539,894,487,424,392,195,392,298,356,203,318,490,421,340,262,333,275,556,622,355,298,638
"hsa-miR-185-3p",0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"hsa-miR-191-5p",420,330,443,1450,539,368,333,2622,932,1532,1178,1087,1020,1864,1048,319,360,375,596,257,246,236,358,301,158,168,85,615,542,1281,1366,1611,1484,1991
"hsa-miR-221-3p",1,1,0,2,1,1,1,1,1,6370,8465,7189,4921,7403,4522,0,0,1,1,1,1,1,1,1,1,1,1,10557,5544,4850,1968,6803,9721,3910
"hsa-miR-26a-5p",441,526,445,546,519,324,370,443,405,465,418,553,455,635,488,436,379,204,502,455,351,264,316,404,210,343,171,275,474,453,692,533,236,591
"hsa-miR-361-3p",7,5,0,1,5,6,2,5,6,4,13,7,10,12,11,0,6,4,4,1,8,1,1,2,0,3,3,7,9,1,2,12,17,4
"hsa-miR-423-5p",530,579,448,587,1052,806,817,1291,2653,767,1011,2497,560,2302,1146,560,361,316,403,297,256,427,264,352,498,401,416,1479,265,895,598,632,2030,1303
"hsa-miR-451a",449,433,278,68,747,249,233,134,459,45,52,337,147,339,114,390,285,223,235,240,137,290,441,327,158,341,289,142,54,115,225,68,101,76
"hsa-miR-486-5p",31284,35215,27910,9222,39633,39692,34739,56182,120630,15068,41059,89623,39987,232731,53514,33637,22166,40018,10039,20701,27449,27867,21095,14699,29560,19722,24929,50834,56076,48533,38374,45778,48006,22843
"hsa-miR-92a-3p",2158,2141,1548,504,1728,1437,1707,1375,2441,1407,2291,3991,2127,3874,2812,1765,1579,1914,1056,994,1332,1388,1379,770,1512,1845,1868,2998,2438,2332,2083,2442,1486,1661
"hsa-miR-126-3p",68,92,50,29,68,86,76,25,27,34,28,42,34,49,34,50,65,18,34,81,35,36,45,85,43,56,54,25,77,48,59,15,21,10
