"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-10a-5p",18926,20050,22238,9067,27951,16051,20643,34370,8046,22607,12230,16776,27547,12463,22834,23037,17768,16691,12555,27780,18023,15311,17937,22111,13547,16903,14292,20341,20414,23744,26867,14795,16150,16967
"hsa-miR-10b-5p",34702,46762,47382,18252,60981,36524,44428,58214,23997,34960,21882,33000,53623,25577,41951,50412,35651,31457,30697,47467,35924,34227,34637,50311,32622,38684,27540,36879,40262,38607,48101,28118,25306,29128
"hsa-miR-181a-5p",9850,8362,8880,6584,11327,10492,9430,6637,10297,9372,8571,7885,11688,11154,8062,8455,9170,6662,7951,6861,8211,7003,7510,8535,9658,7936,7530,8198,6595,10511,10024,7719,7629,11094
"hsa-miR-185-3p",0,0,0,24,11,0,0,0,0,5,12,5,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
"hsa-miR-191-5p",7599,5988,9382,44516,8338,6128,4949,60937,16388,45903,21206,13248,18538,19012,15102,5994,8704,9145,10090,5900,6159,7146,7616,5880,5032,4876,3689,17769,14991,26023,23897,30444,31910,33894
"hsa-miR-221-3p",1,1,0,3,1,1,2,2,1,1067826,1005220,591031,492387,366262,383878,0,0,1,1,1,1,1,1,1,1,1,1,1289378,707473,628919,311135,843054,1181429,535955
"hsa-miR-26a-5p",7874,10031,9225,16583,9329,6227,6637,8943,7178,13271,7460,8129,9065,6254,7934,8834,8783,6803,9357,8910,8127,8139,7452,7489,6337,7964,5824,7364,9600,9273,10961,10340,6666,10595
"hsa-miR-361-3p",133,97,0,31,79,132,33,101,123,94,275,92,199,128,176,0,130,106,82,31,150,42,30,54,0,71,82,188,197,19,45,264,367,96
"hsa-miR-423-5p",9597,11037,9167,16770,19116,16232,14999,27995,59159,20180,19021,51198,8584,31016,19405,12138,7896,9123,8321,7087,6979,11316,6929,7113,11082,9109,10330,29352,8775,18802,12592,14863,37149,23162
"hsa-miR-451a",8278,8272,5539,1721,15343,5133,4318,2440,9508,936,679,7498,3331,5395,1869,8244,6394,6562,5288,5542,4295,7950,8580,6089,4927,7372,7373,2922,1393,2272,3255,1591,2313,1589
"hsa-miR-486-5p",563808,672110,573650,233179,725121,838053,654253,1254353,2782723,292465,762249,1729364,789428,4768990,949378,725720,487298,866510,289070,468174,598165,719036,497565,342761,663175,484773,621939,1069760,1040483,938406,701254,900238,1032136,522275
"hsa-miR-92a-3p",39536,40774,31302,13594,32423,30287,33514,28812,51323,35167,44193,72876,42839,45596,50599,35489,36826,45605,24757,24844,31839,38861,31822,19187,36434,38903,43425,60311,47489,45879,37279,47324,37506,33972
"hsa-miR-126-3p",1224,1786,998,809,1271,1902,1493,430,451,946,490,624,684,523,553,901,1570,748,822,1486,935,1137,1067,1390,1125,1247,1354,630,1263,890,928,411,558,278
"hsa-miR-30d-5p",2315,2227,3039,7493,3610,2383,2540,6998,5335,8150,4557,4837,5008,6294,3417,1676,3074,2317,2782,1723,2530,1889,2360,2053,1378,1897,2715,4826,4506,6283,5705,6404,5492,5477
"hsa-miR-146b-5p",1774,1160,1084,2819,1009,3000,1463,3273,871,1501,1002,463,587,642,338,915,1616,1262,958,804,1713,1158,1493,649,1419,1258,1328,498,1153,710,773,739,828,1327
