"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-10a-5p",16039,16703,27597,10776,32868,17229,18072,35767,7149,25213,12885,20774,36671,16555,20802,15194,12564,20152,11650,31166,15139,12036,19699,27272,12024,17157,13243,18364,19120,23603,32609,13490,18029,14789
"hsa-miR-10b-5p",29418,38946,58796,21695,71702,39197,38891,60614,21294,38948,23057,40914,71443,34039,38231,33263,25201,38007,28459,53315,30185,26894,38059,62027,28929,39244,25534,33297,37714,38377,58383,25640,28247,25390
"hsa-miR-181a-5p",8345,6968,11023,7817,13326,11254,8257,6924,9117,10445,9068,9768,15548,14940,7327,5566,6493,8049,7362,7724,6896,5504,8252,10535,8546,8052,6970,7400,6174,10449,12165,7039,8516,9672
"hsa-miR-185-3p",0,0,0,29,12,0,0,0,0,6,13,6,0,14,28,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
"hsa-miR-191-5p",6439,4991,11640,52758,9850,6605,4356,63379,14541,51350,22402,16308,24521,25301,13662,3939,6169,11015,9324,6641,5177,5610,8359,7267,4467,4958,3427,16036,14032,25865,28996,27770,35636,29555
"hsa-miR-221-3p",1,1,0,3,1,1,2,2,1,1227088,1096817,750435,669208,500640,355757,0,0,1,1,1,1,1,1,1,1,1,1,1198154,678197,642498,385267,791868,1360198,480439
"hsa-miR-26a-5p",6674,8353,11449,19657,10987,6692,5821,9328,6369,14822,7879,10069,12026,8313,7206,5818,6218,8218,8656,10014,6825,6391,8188,9250,5623,8081,5400,6647,8990,9216,13302,9432,7440,9238
"hsa-miR-361-3p",113,81,0,37,93,141,29,105,110,105,293,113,264,170,160,0,92,127,75,35,125,33,32,68,0,73,76,170,184,19,54,241,412,83
"hsa-miR-423-5p",8131,9192,11382,19907,22508,17430,13147,29157,52245,22481,20123,64103,11292,41650,17647,8012,5579,11005,7707,7980,5871,8872,7621,8794,9803,9240,9548,26508,8211,18687,15273,13552,41500,20194
"hsa-miR-451a",7012,6889,6882,2048,18019,5510,3783,2549,8409,1036,711,9413,4438,7285,1698,5437,4522,7918,4902,6241,3618,6234,9408,7522,4372,7474,6816,2639,1304,2258,3951,1450,2583,1385
"hsa-miR-486-5p",477774,559723,712142,277493,853678,898981,573145,1305693,2455752,322633,806062,2161053,1047023,6492257,864664,478969,344365,1042383,268652,526966,502067,563536,546652,424380,586719,492133,574875,966010,974671,932797,850799,821108,1152654,455118
"hsa-miR-92a-3p",33492,33958,38872,16156,38152,32490,29333,30030,45379,39114,46793,90904,56854,60960,46105,23369,26074,54915,22961,27991,26749,30482,34954,23770,32256,39430,40109,54467,44481,45604,45230,43165,41873,29610
"hsa-miR-126-3p",1037,1487,1240,962,1495,2038,1307,450,401,1056,517,773,908,696,502,592,1113,905,763,1668,786,893,1172,1714,997,1264,1251,569,1184,884,1127,376,622,242
"hsa-miR-30d-5p",1962,1856,3770,8884,4254,2562,2228,7289,4726,9107,4814,5991,6640,8422,3094,1099,2180,2796,2573,1941,2124,1485,2591,2536,1224,1927,2510,4358,4218,6246,6924,5840,6133,4775
"hsa-miR-146b-5p",1503,966,1346,3344,1192,3216,1283,3408,774,1679,1062,570,776,854,305,600,1146,1522,888,906,1437,909,1638,804,1256,1276,1228,449,1081,706,938,674,924,1157
"hsa-miR-151a-3p",864,825,1724,7219,2171,1025,795,5814,1534,6846,2499,2644,2380,3187,2389,884,672,923,1044,1449,780,757,1156,1165,824,1055,551,2348,2477,4195,4580,3086,4001,3024
"hsa-miR-27b-3p",2177,2481,5334,4998,3620,3214,3092,2843,1502,3582,1831,3253,3508,2044,2460,2182,2234,2688,3399,3414,2132,2778,2548,3354,2787,2734,1949,2253,2504,2494,3076,2425,3085,1949
"hsa-miR-182-5p",1417,562,1411,442,695,673,1606,1274,1643,1022,848,638,1902,1050,5188,678,885,2178,537,810,672,1788,695,952,1285,769,1217,2985,2265,1415,1626,1076,1481,897
"hsa-miR-25-3p",1838,2195,1830,1774,4554,2209,1802,2254,3258,1320,1326,2917,2311,2445,986,1138,1587,2528,1093,1519,1257,1496,2188,2145,2226,2186,1861,1601,1451,1693,1406,1318,1812,667
"hsa-miR-30a-5p",2953,2112,3268,1055,4317,1754,1982,1765,1732,1678,1395,1938,2732,1361,1752,2383,1614,2045,2162,3926,2595,2009,2633,3171,2093,2144,2099,1710,1575,1908,2561,1062,1368,982
"hsa-let-7a-5p",2099,2004,2741,7942,2087,1751,6533,1636,1505,2413,4696,5266,3737,2020,3919,1806,1415,2418,1974,2159,1797,1571,2542,2187,1774,2325,1720,1713,2588,1862,3692,6200,3137,2333
"hsa-miR-186-5p",824,811,1849,3079,2250,2131,1451,1950,1865,1204,993,1646,1811,1801,852,409,1062,1458,939,1015,908,727,1111,1334,704,1022,861,1271,950,1007,1059,752,1327,1072
"hsa-miR-22-3p",7518,6980,9468,11030,6771,4356,5240,5693,5073,8828,4583,8596,7651,8460,4908,6624,4754,9431,7063,8906,3759,6595,8970,8315,5875,6795,6732,4960,3344,6690,6858,5001,11298,5049
"hsa-miR-423-3p",898,840,1268,2383,1100,1415,1357,1989,1817,3682,3031,1908,2433,2709,1561,765,637,1621,1002,953,857,824,750,884,513,951,693,1696,1833,2890,1820,3246,2099,2542
"hsa-miR-99b-5p",1935,2156,4290,6088,4062,1888,1620,14038,2012,5703,2889,4319,5257,4332,2581,2181,1627,3073,2188,3986,2304,1108,2843,2799,2019,2418,1537,3010,2381,3830,4435,3521,3382,4369
"hsa-let-7c-5p",794,472,197,352,236,636,898,522,674,54,206,128,86,16,108,780,66,131,1066,886,425,143,138,266,516,427,143,39,115,129,116,118,51,64
"hsa-let-7f-5p",1612,1360,2065,3871,1423,2052,2406,1419,845,2561,3676,2309,3894,2499,3478,1092,1224,1781,1038,1864,1327,1522,1434,1397,1423,1742,1813,2673,2246,1561,4179,3560,1808,2501
"hsa-miR-125a-5p",4141,4753,5524,3455,6717,2928,4172,6658,2936,6803,5099,5237,7069,4670,6795,3699,3075,5255,3215,6693,4628,3852,5163,4562,3819,4211,2412,4803,4855,6501,8747,4838,3671,4400
"hsa-miR-1307-5p",0,94,0,1193,465,145,415,125,738,37,25,38,30,81,0,0,45,0,0,30,0,0,54,78,90,45,0,0,103,28,11,7,48,0
"hsa-miR-146a-5p",1079,818,1368,11298,1077,1009,786,6416,1390,3950,1436,1873,1498,1908,844,743,767,1240,1438,947,1031,659,1110,558,494,991,967,657,1000,1713,2020,2225,2450,2634
"hsa-miR-150-5p",4502,3548,4211,680,2745,4436,2440,2883,1974,4983,7455,5070,11576,3938,1711,2082,3552,5554,2414,4255,5105,5171,3662,2523,2792,4279,2712,5963,8725,3882,6064,4154,3199,3507
"hsa-miR-196b-5p",0,0,164,25,6,0,0,0,40,24,38,6,0,0,0,67,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
"hsa-miR-21-5p",918,568,1464,3028,922,1243,1294,1167,665,1641,1481,988,1080,1409,429,319,944,1004,1234,667,589,691,1124,764,722,822,738,591,639,1253,1270,888,1565,1114
"hsa-miR-30c-5p",506,584,504,1180,867,601,509,983,681,1064,472,482,995,709,394,248,479,735,422,398,513,345,749,597,363,457,372,539,637,682,857,624,445,603
"hsa-miR-484",840,1699,772,1258,2011,1383,1042,1929,2734,1974,2441,6357,2382,7479,1328,1012,625,1639,753,995,903,1208,1082,775,655,1387,1145,2325,2063,2860,2563,1994,1759,1776
"hsa-miR-93-5p",322,501,322,399,413,230,488,275,235,125,96,151,201,186,158,327,232,372,106,396,467,360,373,400,457,372,318,212,155,120,84,155,128,43
"hsa-miR-127-3p",0,121,202,835,454,179,152,1525,326,843,473,972,245,684,205,0,122,82,136,128,126,87,46,20,75,86,31,346,336,632,761,562,565,264
"hsa-miR-151a-5p",519,1263,1991,7621,2354,1450,1613,5056,1567,5034,1829,2187,2495,2089,2390,705,921,1354,1333,1401,886,744,859,1412,691,1072,706,2164,2239,2661,4358,2675,2846,2113
"hsa-miR-548k",0,0,0,104,234,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,317,0,0,142
"hsa-miR-92b-3p",1859,1311,1928,361,731,1354,1835,1046,814,1359,2304,1488,1240,762,1884,482,1763,2328,1323,1969,1420,1613,1181,1574,1902,1599,828,1019,916,2127,1678,1126,1119,1539
