"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-10a-5p",15790,22945,27277,8088,30853,15827,17694,25180,8560,19936,14121,16438,30294,12424,30245,18706,18636,21069,9862,29620,16814,11706,19995,27124,15564,20958,15446,15849,23098,20632,31526,12896,13687,17200
"hsa-miR-10b-5p",28939,53532,58122,16280,67321,36026,38086,42621,25564,30835,25265,32328,58963,25488,55563,40932,37394,39734,24093,50664,33524,26159,38630,61692,37448,47940,29781,28740,45583,33534,56445,24519,21431,29525
"hsa-miR-181a-5p",8222,9568,10890,5880,12496,10357,8082,4847,10996,8266,9890,7725,12853,11104,10683,6868,9615,8415,6234,7339,7660,5354,8375,10477,11066,9836,8130,6383,7446,9132,11751,6734,6467,11266
"hsa-miR-185-3p",0,0,0,22,12,0,0,0,0,5,14,5,0,10,41,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
"hsa-miR-191-5p",6342,6846,11512,39844,9154,6013,4215,44675,17458,40459,24474,12993,20407,18945,20026,4870,9126,11518,7896,6309,5749,5457,8485,7226,5782,6056,3997,13811,16900,22590,27983,26603,27106,34432
"hsa-miR-221-3p",1,1,0,3,1,1,2,2,1,941908,1162810,579330,543455,366989,510045,0,0,1,1,1,1,1,1,1,1,1,1,1012482,800993,544743,361839,741578,1008643,543719
"hsa-miR-26a-5p",6569,11484,11313,14838,10279,6131,5677,6534,7648,11699,8610,7965,9974,6233,10515,7174,9210,8592,7330,9516,7580,6216,8310,9199,7277,9871,6298,5729,10860,8049,12852,9033,5644,10756
"hsa-miR-361-3p",111,111,0,28,87,130,28,74,132,83,316,90,219,127,233,0,136,134,64,33,139,33,34,68,0,89,89,147,224,16,52,231,313,97
"hsa-miR-423-5p",8007,12636,11239,14983,21068,16001,12839,20488,63383,17799,21947,50078,9458,30864,25711,9854,8282,11507,6525,7582,6519,8631,7734,8744,12692,11287,11139,22915,9875,16315,14712,12954,31623,23515
"hsa-miR-451a",6912,9472,6788,1533,16962,5062,3697,1778,10168,827,786,7331,3663,5364,2476,6695,6707,8279,4151,5928,4016,6065,9550,7479,5660,9130,7952,2281,1571,1972,3821,1386,1964,1610
"hsa-miR-486-5p",470408,769473,703368,207692,799304,827092,560376,918674,2983937,258352,879572,1692065,868653,4735550,1257575,589228,511136,1090187,227391,500673,557665,548264,554850,421923,759644,601146,670661,834521,1178387,815111,820721,786277,876759,528509
"hsa-miR-92a-3p",33000,46677,38364,12127,35763,29891,28735,21068,54909,31026,50985,71324,47133,45404,67020,28825,38616,57428,19439,26592,29708,29653,35479,23631,41761,48171,46795,47076,53752,39843,43640,41340,31800,34424
