"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-10a-5p",23642,21742,27439,18801,27765,15311,22868,21265,2693,38800,11909,7813,25357,2302,18176,22650,24276,17435,27399,42711,24764,18099,27734,42604,17520,26232,19220,13584,14286,17755,25376,11495,11194,20013
"hsa-miR-10b-5p",43440,50621,58448,37868,60536,34792,49195,36132,7973,59942,21309,15385,49400,4732,33405,49586,48689,32925,66824,73207,49403,40411,53629,96824,42083,59944,37094,24651,28277,28795,45449,21900,17467,34330
"hsa-miR-181a-5p",12275,9076,10975,13573,11280,9964,10457,4169,3381,16075,8379,3673,10752,2076,6402,8298,12545,6973,17253,10649,11278,8274,11624,16480,12387,12303,10096,5453,4562,7854,9414,6025,5294,13222
"hsa-miR-185-3p",0,0,0,49,10,0,0,0,0,9,12,2,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
"hsa-miR-191-5p",9484,6518,11558,90827,8501,5986,5656,37581,5445,79013,20703,6134,16961,3517,11940,5873,11919,9491,21771,9154,8477,8416,11754,11392,6510,7603,4996,11700,10280,19346,22308,23998,22413,40456
"hsa-miR-221-3p",1,1,0,5,1,1,2,2,1,1685576,905994,250834,412856,61107,276859,0,0,1,2,1,1,1,1,1,1,1,1,805141,450751,426780,259272,609323,767319,576478
"hsa-miR-26a-5p",9846,10855,11393,33876,9348,5983,7424,5609,2383,22810,7281,3787,8318,1155,6297,8673,12012,7117,20252,13767,11162,9589,11534,14488,8186,12346,7844,4873,6715,6891,10308,8136,4597,12598
"hsa-miR-361-3p",165,105,0,65,79,124,37,63,41,160,270,43,183,24,140,0,178,110,175,49,203,51,47,106,0,111,111,127,139,14,40,209,262,111
"hsa-miR-423-5p",11980,11944,11340,34525,19131,15513,16729,17408,19125,34598,18594,24096,7812,5788,15421,11943,10779,9509,18067,11009,9627,13278,10756,13793,14201,14111,13797,19819,5955,13946,11606,11541,26410,27551
"hsa-miR-451a",10311,8951,6875,3596,15127,4892,4811,1548,3101,1595,656,3538,3069,1012,1483,8106,8736,6844,11511,8603,5945,9337,13206,11781,6370,11404,9853,1969,959,1692,3083,1235,1618,1865
"hsa-miR-486-5p",704156,727307,709250,487104,725062,796274,727492,777299,895948,496725,744866,812385,724115,901789,755527,714000,665337,896256,633535,726253,820213,843046,770096,667327,850052,752624,830756,719217,732236,700001,652551,707572,724899,609746
"hsa-miR-92a-3p",49281,44134,38776,28183,32321,28783,37076,17989,16707,60200,43238,34175,39319,8473,40286,34840,50372,47296,53957,38641,43768,45665,49222,37420,46792,60137,57889,40680,33308,34183,34741,37236,26056,39974
