"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-10a-5p",20,425,50,7535,11451,292,98,4388,2333,4509,1302,28016,3957,17153,384,30,28,206,87,569,128,40,204,855,30,214,35,247,230,2145,2250,299,1346,263
"hsa-miR-10b-5p",38,964,105,15270,24713,648,209,7784,6209,7231,2320,52950,7483,33026,696,65,55,281,281,742,230,105,336,2171,102,583,53,459,497,3283,4062,604,1883,444
"hsa-miR-181a-5p",10,179,20,5015,4829,178,45,1068,2231,1910,786,12953,1708,11540,147,12,14,62,94,54,62,21,77,271,63,113,29,90,56,932,743,175,660,209
"hsa-miR-185-3p",0,0,0,19,4,0,0,0,0,1,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-191-5p",8,135,20,29072,5058,159,38,7416,4247,8176,2047,26871,3295,24479,320,9,13,296,180,48,36,32,107,135,12,36,4,147,98,2039,1543,874,3703,666
"hsa-miR-221-3p",0,1,0,4,1,1,1,1,1,75146,31016,385281,33620,213385,2736,0,0,1,1,1,1,1,1,1,1,1,1,5561,2439,15674,4680,6783,58134,1206
"hsa-miR-26a-5p",9,205,21,10977,4332,125,37,1394,1825,2501,728,13449,1458,8392,148,12,13,69,134,116,62,35,77,200,17,116,12,72,107,726,837,285,489,190
"hsa-miR-361-3p",0,2,0,26,34,3,0,14,23,24,23,184,31,164,4,0,0,4,1,0,1,0,0,1,0,1,0,2,2,1,1,6,53,1
"hsa-miR-423-5p",11,226,22,12478,8726,302,78,3843,10077,4164,1753,58647,1840,29521,346,15,13,163,92,51,31,78,51,149,79,142,59,460,42,1394,594,295,5624,424
"hsa-miR-451a",8,170,13,1610,5635,92,22,457,1857,251,93,7841,464,4276,35,11,10,108,47,43,12,48,151,158,13,132,39,42,11,184,284,32,241,22
"hsa-miR-486-5p",596,13783,1321,216349,327664,14320,3270,163874,446768,84668,71442,2124541,128571,2869371,16089,922,761,40089,1186,3870,5470,5421,5078,4394,4657,5853,3558,15297,13489,80020,42089,24248,119829,6374
"hsa-miR-92a-3p",41,840,74,11256,13989,519,156,4213,9715,7698,3967,95114,6825,50414,844,49,54,1559,201,146,216,224,347,195,204,757,306,927,567,3803,2319,1307,3322,498
"hsa-miR-126-3p",1,34,2,599,538,29,7,81,129,182,50,1021,110,666,11,2,3,4,5,21,5,5,11,46,5,19,8,7,19,82,74,7,46,3
"hsa-miR-30d-5p",3,48,7,4990,1757,50,15,957,1183,1513,437,7929,818,6721,70,2,5,43,38,12,23,6,30,51,3,21,15,51,43,541,397,181,542,89
"hsa-miR-146b-5p",1,25,3,2034,586,52,7,465,277,263,85,901,104,804,8,2,3,25,7,5,18,5,21,7,8,18,6,4,16,48,49,17,81,27
"hsa-miR-151a-3p",2,22,3,3979,974,24,6,742,483,1074,238,3947,352,3095,50,2,2,7,13,18,6,5,12,24,5,15,1,24,24,383,270,83,366,52
"hsa-miR-27b-3p",3,64,9,2893,1413,54,17,428,470,618,176,4030,412,2131,47,5,5,18,54,35,15,22,19,72,17,35,5,29,30,196,174,71,295,33
"hsa-miR-182-5p",2,17,3,340,310,13,9,178,363,220,90,1246,232,1184,69,2,2,85,2,4,4,26,3,12,9,6,7,58,32,103,81,23,114,12
"hsa-miR-25-3p",2,52,3,1163,1546,37,10,324,726,257,117,3059,258,1847,21,2,4,48,7,9,8,9,24,43,18,37,9,25,18,155,70,38,183,9
"hsa-miR-30a-5p",3,56,6,759,1459,30,11,263,444,311,124,2415,296,1363,32,5,4,8,21,54,31,11,24,73,9,21,9,26,20,173,170,23,97,14
"hsa-let-7a-5p",3,51,5,4486,1014,37,34,314,517,495,356,5901,459,2316,67,4,2,30,22,18,17,8,32,39,8,38,7,15,28,94,205,274,256,39
"hsa-miR-186-5p",1,22,3,1810,890,36,9,290,482,222,88,1915,200,1380,18,1,3,30,9,8,8,4,11,29,2,13,4,20,11,78,53,18,132,20
"hsa-miR-22-3p",9,176,18,6317,2699,81,30,863,1363,1517,437,10310,929,7012,98,13,11,148,92,95,10,46,112,170,25,82,31,60,25,571,368,129,1441,93
"hsa-miR-423-3p",2,22,3,1405,490,25,8,277,441,619,242,2828,316,2433,34,2,2,51,11,7,9,6,5,12,1,12,3,20,19,267,73,118,155,50
"hsa-miR-99b-5p",3,56,8,3584,1652,39,12,1560,629,966,273,5576,615,3871,55,4,3,45,23,60,24,2,31,55,9,32,4,36,21,316,252,103,256,98
"hsa-let-7c-5p",0,11,0,235,111,10,4,74,150,11,14,136,11,28,2,2,0,1,12,15,5,1,1,3,4,6,1,1,2,12,5,4,3,1
"hsa-let-7f-5p",2,35,4,2212,644,36,13,235,283,494,288,3343,451,2456,59,3,2,22,8,20,12,13,11,19,8,29,13,39,24,78,278,127,103,45
"hsa-miR-125a-5p",6,117,10,2234,2386,53,23,852,796,1221,454,7288,853,4775,118,7,7,67,25,94,58,26,59,78,18,52,4,63,56,592,594,134,205,81
"hsa-miR-1307-5p",0,0,0,307,91,0,0,14,80,9,3,56,5,60,0,0,0,0,0,0,0,0,1,2,1,1,0,0,3,3,1,1,7,0
"hsa-miR-146a-5p",2,22,3,6103,642,26,6,858,496,603,133,2497,208,1764,21,2,2,23,20,7,13,4,11,4,1,14,5,4,8,124,103,72,242,59
"hsa-miR-150-5p",6,91,8,558,1036,64,13,389,502,954,573,6916,1167,4182,47,5,7,114,17,36,86,66,28,17,10,68,7,97,154,253,345,110,171,59
"hsa-miR-196b-5p",0,0,0,17,2,0,0,0,7,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-21-5p",1,16,3,1746,436,23,8,190,221,270,112,1348,137,1156,11,1,2,15,17,4,4,4,14,10,4,10,3,5,6,109,69,22,166,19
"hsa-miR-30c-5p",1,14,1,667,329,11,3,131,171,179,46,744,114,655,9,0,1,16,3,3,5,2,10,10,2,6,2,6,7,61,53,18,28,10
"hsa-miR-484",1,37,2,770,705,23,6,246,541,395,208,6070,309,4430,30,2,2,41,6,7,7,12,10,7,3,25,6,34,25,282,144,57,121,32
